name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
New Eltham Library,Southwood Road,Eltham,,Greenwich,,10010197970,E09000011,Coldharbour and New Eltham,E05000217,544062.9801024944,172982.7700805962,0.07289786404361596,51.43700852799315,11/20/2022
Earlsfield Library,Magdalen Road,,,Wandsworth,,100023328731,E09000032,Earlsfield,E05000612,526117.0001221001,173053.00012210011,-0.18514964469425785,51.441920217204306,11/20/2022
Feltham Library,High Street,Feltham,,Hounslow,,100023399114,E09000018,Feltham West,E05000352,510516.6000976935,173127.6000976935,-0.40951987171032717,51.44585041029236,11/20/2022
Southfields Library,Wimbledon Park Road,,,Wandsworth,,100023335031,E09000032,West Hill,E05000628,524586.0001221001,173139.00012210011,-0.20713911764757595,51.443032091698036,11/20/2022
Torridon Road Library,Torridon Road,,,Lewisham,,100023276877,E09000023,Catford South,E05000440,538984.0001221001,173378.00012210011,2.11969860960643e-05,51.441829546465804,11/20/2022
Twickenham,Garfield Road,Twickenham,,Richmond upon Thames,,100023574356,E09000027,Twickenham Riverside,E05000531,516294.0001221001,173381.00012210011,-0.32632933326644614,51.44697103716127,11/20/2022
Balham Library,Ramsden Road,,,Wandsworth,,100023306589,E09000032,Balham,E05000610,528498.0001221001,173451.00012210011,-0.15076103334813692,51.44496215087221,11/20/2022
Catford library,Catford Road,,,Lewisham,,200000556121,E09000023,Rushey Green,E05000451,537650.0001221001,173594.00012210011,-0.019079052426101036,51.444096600773406,11/20/2022
Bexley Community Library,Bourne Road,Bexley,,Bexley,,100022922056,E09000004,St. Mary's & St. James,E05011229,549574.0001221001,173724.00012210011,0.15244918402013158,51.442240983723856,11/20/2022
Bedfont Library,Staines Road,Feltham,,Hounslow,,100023400018,E09000018,Bedfont,E05000346,508895.1000976935,173725.6000976935,-0.4326618657859064,51.45154014000728,11/20/2022
Roehampton Library,Danebury Avenue,,,Wandsworth,,100023314365,E09000032,Roehampton and Putney Heath,E05000621,522250.0001221001,173779.00012210011,-0.2405171048872854,51.44929375978501,11/20/2022
Whitton,Nelson Road,Twickenham,,Richmond upon Thames,,100023401915,E09000027,Whitton,E05000533,514109.0001221001,173917.00012210011,-0.3575883165445195,51.452233661847956,11/20/2022
Dulwich Library,Lordship Lane,,,Southwark,,200003440972,E09000028,Dulwich Village,E05011100,533893.0001221001,173960.00012210011,-0.07297420067566748,51.44828683387968,11/20/2022
Blackfen Community Library,Blackfen Road,Sidcup,,Bexley,,10023305013,E09000004,Blackfen & Lamorbey,E05011220,546325.0501098931,174455.79010009766,0.10603201938315471,51.44966600729117,11/20/2022
Eltham Centre Library,Eltham High Street,Eltham,,Greenwich,,100023282187,E09000011,Eltham North,E05000218,543090.0001221001,174458.00012210011,0.059504080224144405,51.45051272723563,11/20/2022
